Model_No,KS,AD,SW,WX,Fit,TIC,Willmott,Russell_Pr,Russell_Mr,SG_Mr,Anova,Dvure,DTW,DTW_D,CodExp,N_nAIC,N_BIC,N_FPE,ITAE,V_ess,V_Tr,V_Ts,V_Mp,V_MESR,V_MRSR,V_Var,V_DifS,Harris,rwi,IAU,ess,Tr,Ts,Mp,MESR,MRSR,Var,DifS,Flag,ID_norm,Category
24,0,0.0005,0,0,-7.88471181550198e+26,1,-1,0.499725776453798,26.896785686033,7.88470930003569e+26,1,2.92811743647372e-26,0.000887842018526786,0.00157979590363117,84,1.75828150306403,1.75856304593583,-1.90793831847893,3.7494882404653e+25,1188989.86638089,17.3472777634753,184.175540686546,0,79552.0146977302,1267.12716396176,-3.88122889923881,0,0.549285731492063,196634644.873903,111.400384884484,0.917358678648075,892.973561385602,979.143900918732,0,0.226126518477666,2.27739353479041e-05,0.0157629545715544,0,1,8,Z
25,0,0.0005,0,0.267852928828551,0.931906333042325,0.0340746017982824,0.944688700767705,0.0216905491703971,-0.00141507584565797,-0.00163049191884534,0.806303665285391,76.4869240530685,2.14907384098227e-05,2.31821083755063e-05,84,1.39458431306121,1.39507857976523,-1.99968412048016,0.0230830844323577,0.000384529621946794,-0.368033711815239,0.210317605444717,12.7864911854024,0.00135253739184575,0.000254242692455792,0.200091585723442,0,1.66074783731437,254.824259839696,702.263622366386,4.88498130835069e-15,25.1621861730225,37.7199137275314,0.412408553250976,0.00277788028970061,0.000240231864837037,0.167617347191658,0,0,1,A
26,0,0,0,0,-Inf,1,-Inf,Inf,Inf,1,0,0,Inf,Inf,84,1.74548412884157,1.74617636936955,-1.92460218031222,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,21.3140913757225,999.92907547767,52.8676796926964,Inf,Inf,Inf,0,1,NaN,<undefined>
27,0,0.0005,NaN,0,-1.15401933504458e+218,NaN,-1,0.5,NaN,Inf,0.999853438729489,5.61731846843934e-217,3.38491241703159e-06,6.1755139439198e-06,84,1.75173358546037,1.75242935186317,-1.91687960435549,1.95448094254301e+216,3.91876567338649e+52,1.32405465642232,184.215997109457,0,2.61773285861733e+51,3.11645905965812e+50,-11.2091852959643,0,0.25533564212769,2376035656.43361,28.6664248220989,1.02512682153402,893.073014961153,980.432719089846,0,0.241068458143763,6.98377208731821e-06,0.00489362263522762,0,1,8,Z
28,0,0.0005,0,0.264879710835322,0.932055593242924,0.0339998796228132,0.94474438880167,0.0216429523176312,-0.0014134852277787,-0.00162865767545328,0.806918271842945,76.6197994950646,5.93484983311353e-06,1.94357473221689e-05,84,0.612873149503852,0.613762218939321,-1.99999999840656,0.0230598441250838,1.05122882543274e-06,-0.371140869975832,0.0882949389312802,12.6906452240247,0.00131492494628766,0.000248291795540307,0.200091509258463,0,1.66346417775415,252.937957625712,702.258868409465,1.17683640610267e-14,24.0862911982538,34.8802698346428,0.116560057010351,0.00273136575571615,0.000238858213421386,0.167614864664685,0,0,1,A
29,0,0,0,0,-Inf,1,-Inf,Inf,Inf,1,0,0,Inf,Inf,84,1.74239451680807,1.74392084979933,-1.928150729142,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,29.0153128388215,999.226742119105,0,Inf,Inf,Inf,0,1,NaN,<undefined>
30,0,0.0005,NaN,0,-9.71837520308885e+229,NaN,-1,0.5,NaN,Inf,0.999779688937795,6.84903556361331e-229,4.4672945794881e-07,4.57498604969231e-06,84,1.74982640242234,1.75135692840188,-1.91931667437663,1.60299093102788e+228,3.28229510782175e+55,1.20417897013685,184.216298618953,0,2.19257094492174e+54,2.74315921486834e+53,-11.5118210057758,0,0.254756181210865,23342472007215,0.206334766583973,1.00025039984451,893.086773581492,980.157190477548,0,0.237653520970731,6.94632833155516e-08,4.85320203834907e-05,0,1,8,Z
31,0,0.0005,0,0.351684840818712,0.923131802527606,0.0384744603722079,0.942484564527507,0.0244905247264016,-0.0018210340305351,-0.00209873756687196,0.773706423375883,73.3957779466041,0.000317787363052941,0.000850871243006838,84,1.82312656713438,1.82319394420293,-1.74678177590741,0.024002937403434,0.00303639762597996,-0.210877192936424,0.472015992657552,26.1443210074056,0.00198967298049773,0.000283789247126457,0.200000559470253,0,1.86684833550009,193.23055200481,706.989822011924,2.22044604925031e-16,22.5097464309559,56.7486435546789,8.46418859287557,0.00290960329795467,0.000337631046886703,0.167729160519184,0,0,5,E
32,0,0.0005,0,0.31594975191689,0.906679844738765,0.0467384508476149,0.940193803819592,0.0297462590312486,-0.00290867511431982,-0.00335433038878574,0.728456069173738,70.6761353035236,0.000858605037273254,0.000806721976796341,84,1.85557608573461,1.85566177046533,-1.57986790611396,0.0249589413948256,0.00421741321068236,-0.387557026930847,0.605793950905022,28.0696784613332,0.00255848354471674,0.000294856666253522,0.199915639019116,0,1.37885698645283,548.80871158722,702.669182733284,2.22044604925031e-16,40.8040142489296,51.7192647263851,0.317848608538029,0.00417586029193944,0.000243424983498857,0.167716408325538,0,0,4,D
33,0,0.0005,0,0.154229851264142,-2.30194090923662e+34,1,-1,0.500103216153278,34.3620940325554,2.30194017484646e+34,0.783703434698029,1.28085599007678e-33,5.08522588790487e-05,0.00119090348481871,84,1.87140861686562,1.8715032341366,-1.46213484019727,8.57156618684468e+32,4896222.30560422,13.3767625988017,184.206232201796,0,3310679.94923102,544125.935030101,51.8972198540924,0,0.520462797322907,1269459.48536297,715.295782363815,0.341572357961888,870.169729339219,961.267212159762,0,0.13576376224077,0.000170463399359874,0.112961061670541,0,1,8,Z
