Model_No,KS,AD,SW,WX,Fit,TIC,Willmott,Russell_Pr,Russell_Mr,SG_Mr,Anova,Dvure,DTW,DTW_D,CodExp,N_nAIC,N_BIC,N_FPE,ITAE,V_ess,V_Tr,V_Ts,V_Mp,V_MESR,V_MRSR,V_Var,V_DifS,Harris,rwi,IAU,ess,Tr,Ts,Mp,MESR,MRSR,Var,DifS,Flag,ID_norm,Category
23,0,0.0005,0,0,-4.44945599886618,0.0876669335089371,-0.82652284501968,0.00366780131277218,-0.131173835036127,-0.160883801986574,1,0,1.27005602767801,3.15544362088405e-30,1,1.7894381499399,1.78955434352535,-1.62165051100929,1.1266107057149,1.20388203621499,3.80750236897763,1.0134772889627,0,0.132647377198374,3.65119170414508e-05,0.0654126167995293,0,3.64106077779574,6043.59782202535,104163.608421625,1.8811536763863e-06,683.723279007527,1014.29430763892,0,0.00127790551048822,1.09678216896396e-05,0.0239046038142254,0,0,8,Z
24,0,0.0005,0,0,-4.84304627277478,0.09459638970512,-0.838210906069413,0.00396247517041442,-0.140183414280033,-0.1725033111757,1,0,1.45896465297037,0,1,1.78943940559649,1.78955559945713,-1.62164519024773,1.20799900375533,1.29152783963896,3.98138820438978,1.114160851758,0,0.142221040956281,3.60040021485286e-05,0.0688427625720196,0,3.65538551262854,6107.86353464615,104163.735353563,4.17586064749287e-06,750.507603928223,1098.35600104275,0,0.00138568175271216,1.15217272583419e-05,0.0238587683155412,0,0,8,Z
25,0,0.0005,0,1.76080176986234e-52,0.862940278598153,0.00202831565812646,0.923030026755948,0.00126872124394184,-0.00065506708475377,-0.000754458098016997,1,93.2479829579244,5.43168284164541e-05,0,1,-1.96510146108109,-1.96564576926725,-2,0.0150807509319005,0.000448347521537329,0.974047634733659,0.00318272581716883,0,0.00276338526954985,4.34910019611648e-05,0.0295994311214867,0,3.49147712046448,9698.52270421904,104162.881921018,3.50830475781549e-13,147.093435023867,200.58950018936,0.153558741185433,0.000664967698604166,7.75963138388188e-06,0.0242542017293536,0,0,1,A
26,0,0.0005,0,0,-4.14395075808907,0.0823476660084472,-0.81620246995017,0.00352149108295901,-0.12414067440208,-0.151849462220746,1,0,1.1328578838232,0,1,1.7894778282552,1.78975637069014,-1.62148234055753,1.06335226262944,1.13549648332146,3.43604760435675,0.864372146988532,0,0.125257664291703,3.69103658733812e-05,0.0640809766173415,0,3.63621746134001,6165.37695392631,104163.589152719,8.25650929847654e-07,663.854414253803,965.447547160898,0,0.00126126614566777,1.10337475688858e-05,0.0239208574316592,0,0,7,G
27,0,0.0005,0,0,-4.62945375649075,0.090824444469218,-0.832060420945063,0.00386472915957622,-0.135289686559362,-0.166185760621865,1,0,1.35521027684305,7.88860905221012e-31,1,1.78947968605701,1.7897582288991,-1.62147446471985,1.16375935618214,1.24368421798682,3.74230126532185,1.01812570094698,0,0.137097141066402,3.62830247178372e-05,0.0680611646170113,0,3.65265648542781,6189.93617219898,104163.727053251,2.7811720837434e-06,735.320825292487,1076.88306576947,0,0.00137832285360567,1.15818591328356e-05,0.0238685517797761,0,0,8,Z
28,0,0.0005,0,1.760771969241e-52,0.862940278587177,0.00202831565829068,0.923030026754259,0.00126872125592916,-0.000655067086281369,-0.000754458099777033,1,93.2479829577667,5.43168285920798e-05,0,1,-1.96505770431753,-1.96527732260676,-2,0.0150807509322316,0.000448347534740989,0.974047634766573,0.00318272584761597,0,0.00276338527055959,4.34910019610384e-05,0.0295994311214288,0,3.49147712046204,9698.52270426739,104162.881921018,8.79296635503124e-14,147.093435026874,200.589500195679,0.153558740048498,0.000664967698591372,7.75963138368018e-06,0.0242542017293512,0,0,1,A
29,0,0.0005,0,0,-3.69787030684697,0.0746733589983357,-0.798712828695127,0.003328588904376,-0.113818736269185,-0.138653741824229,1,0,0.94604040224382,7.88860905221012e-31,1,1.78955759219023,1.7901608324134,-1.62114404699713,0.970960602856917,1.03580940754058,2.90165963385647,0.649793349376257,0,0.114432477064112,3.74890748162109e-05,0.0621171498964366,0,3.62840859395173,6351.70112146992,104163.554744507,1.47257884997032e-07,617.497664198512,887.146397054738,0,0.0012318558865214,1.11091663767117e-05,0.0239471138856076,0,0,7,G
30,0,0.0005,0,0,-4.35586915676557,0.0860307638889155,-0.823462425859822,0.00374997236945253,-0.129002924224246,-0.158091659485714,1,0,1.22766013664862,0,1,1.78956048617722,1.79016372703463,-1.62113176739094,1.10708156986824,1.18244780237476,3.43931283622148,0.896422354703547,0,0.130522378988594,3.66392631339766e-05,0.0670654019122669,0,3.64871237988534,6292.54598364803,104163.711620207,1.50871575765876e-06,721.166604024906,1031.2228656753,0,0.00136490486031766,1.16420375536863e-05,0.0238827808485971,0,0,8,Z
31,0,0.0005,0,0,0.288792943380912,0.0106304505902388,0.261998826668811,0.00139849939633151,-0.0177045530157583,-0.0205879093141825,1,78.1589234005008,0.0214997900135125,0,1,1.76391213562998,1.7639253308622,-1.71572717500578,0.144236870817401,0.149205076949229,-0.419927996100737,-0.759497883134169,0,0.0167105214874695,4.26279627610152e-05,0.0294053111974126,0,3.48357736800099,10502.740386103,104162.8490762,6.3771210534469e-13,158.288236938536,368.863011350275,2.2580571603616,0.000733837217002872,7.98074226108802e-06,0.0242855309642594,0,0,3,C
32,0,0.0005,0,0,-4.5565819071117,0.0895445064039868,-0.829871974402892,0.00372276826517899,-0.133633507582224,-0.164051018798826,1,0,1.31992431772417,3.15544362088405e-30,1,1.78941410977307,1.78943289399772,-1.62175236520297,1.14878845187491,1.2278806105261,3.9389474839112,1.06623818245174,0,0.135233622178944,3.63717219814469e-05,0.0658770464414166,0,3.64287412137678,6003.76004566398,104163.61636768,2.43615235095973e-06,694.872203584369,1029.44064294242,0,0.00128477539216977,1.09529628993376e-05,0.0238985772093489,0,0,8,Z
33,0,0.0005,0,0,-4.99281047320233,0.097256565936999,-0.842258465322786,0.00404924827792711,-0.143605671007304,-0.176929569358225,1,0,1.53369525602366,7.09974814698911e-30,1,1.78941552510183,1.78943430963667,-1.62174636945035,1.23899455323757,1.32511785388423,4.1712366094226,1.19110290050833,0,0.145837482089642,3.5807468160971e-05,0.0695236705653041,0,3.65803489595908,6055.01007807415,104163.747991419,5.72741500093343e-06,773.246430786932,1130.15067512406,0,0.00139669279900145,1.15006720469445e-05,0.0238491844999096,0,0,8,Z
34,0,0.0005,0,1.76061217042503e-52,0.862940278606947,0.00202831565799497,0.923030026757026,0.00126872124247002,-0.000655067083598802,-0.000754458096686395,1,93.2479829580833,5.43168282519171e-05,0,1,-1.92335035986963,-1.92404785807116,-2,0.0150807509316898,0.000448347511036395,0.974047634694116,0.00318272578324785,0,0.00276338526866973,4.3491001961704e-05,0.0295994311215217,0,3.49147712046229,9698.52270427871,104162.881921017,1.58095758706622e-13,147.093435024678,200.589500198222,0.153558740230397,0.000664967698601808,7.75963138431856e-06,0.0242542017293546,0,0,1,A
35,0,0.0005,0,0,-4.33864459579478,0.0857315348626135,-0.822916364193619,0.00361362473740434,-0.128625948046028,-0.157607123329093,1,0,1.21941849385,7.09974814698911e-30,1,1.78943784653494,1.7895540400539,-1.62165179665645,1.10366679163635,1.17907101458764,3.67476172131301,0.960142758355112,0,0.129971424452362,3.66566330040311e-05,0.0649348890039744,0,3.63955950082216,6088.63492621544,104163.60378707,1.44474597441047e-06,676.182333563914,991.102097922733,0,0.00127385221506037,1.10020047030187e-05,0.0239096453313906,0,0,8,Z
36,0,0.0005,0,0,-4.84572507715473,0.0946437286117838,-0.83828260012548,0.00397737630214048,-0.1402427311134,-0.172579973097567,1,0,1.46010998832513,1.26217744835362e-29,1,1.78943968100439,1.78955587492539,-1.62164402321498,1.20853436760734,1.29215527632767,4.00644577750447,1.12492803481857,0,0.142316496316606,3.60001580776031e-05,0.0689932203739816,0,3.65628782643699,6111.67425526972,104163.743705479,4.47207855192033e-06,756.99956944087,1104.74877326492,0,0.00139280261279267,1.15453306772986e-05,0.0238553622711693,0,0,8,Z
37,0,0.0005,0,0,0.285137366968926,0.0106856864578218,0.258038289582231,0.00139883630081458,-0.0177985312286679,-0.0206982691218881,1,76.7284041207311,0.0217273863414647,0,1,1.7538894719139,1.75393293861781,-1.74591127462615,0.14501092849748,0.150034424463589,-0.429435430793998,-0.762010622250695,2.22044604925031e-14,0.0167913673164487,4.26340337532513e-05,0.0294490854871914,0,3.48342145504216,10513.0301131712,104162.848196202,5.42677014436777e-13,157.54345815828,369.294996846342,2.27328700084855,0.000733704167193597,7.98397918195718e-06,0.0242861696081341,0,0,3,C
38,0,0.0005,0,0,-4.44590693850984,0.0876048372749152,-0.826409542308911,0.00366634558269515,-0.131092241505671,-0.160778803897341,1,0,1.26841218913348,3.15544362088405e-30,1,1.78942191780254,1.78947317176913,-1.62171928688681,1.12587537795595,1.20308895804183,3.80455412416311,1.0122654964426,0,0.132562741059543,3.65165367035966e-05,0.0653995175976957,0,3.64100627196986,6044.52028588795,104163.608144967,1.8691236194357e-06,683.459101489781,1013.47450030049,0,0.00127766825633648,1.09675219210192e-05,0.0239047718117859,0,0,8,Z
39,0,0.0005,0,0,-4.91681699743383,0.0959050616165092,-0.840229077824393,0.00401160323660973,-0.14186885871368,-0.174682391911897,1,0,1.49546180468977,1.26217744835362e-29,1,1.78942354106432,1.78947479538666,-1.62171240965884,1.22325745253113,1.30808601224955,4.08599096706665,1.15686872271986,0,0.144018863206313,3.59070750978319e-05,0.0692495823118167,0,3.65695133025555,6081.35992467801,104163.743771752,5.01253203388785e-06,762.779374657128,1113.66536021876,0,0.00139297840724744,1.15152227102395e-05,0.0238530158326194,0,0,8,Z
40,0,0.0005,0,1.76068313918609e-52,0.862940278582693,0.00202831565835772,0.923030026753381,0.00126872124432309,-0.000655067086869589,-0.000754458100454825,1,93.2479829577169,5.43168286502072e-05,0,1,-1.9233252784033,-1.9238928989851,-2,0.0150807509324046,0.000448347540436878,0.974047634704677,0.00318272580488845,0,0.00276338527088766,4.34910019615929e-05,0.0295994311213988,0,3.49147712046086,9698.52270433015,104162.881921005,3.64153152077051e-14,147.093435015038,200.589500183974,0.153558741003668,0.000664967698584922,7.75963138369051e-06,0.0242542017293493,0,0,1,A
41,0,0.0005,0,0,-4.13463845519399,0.0821863338426607,-0.815868274276563,0.00351804224871097,-0.123925725464984,-0.151573883626841,1,0,1.12877596354311,7.88860905221012e-31,1,1.78946971905054,1.78971579167755,-1.62151671625649,1.06142232344384,1.13341825801104,3.42919692593887,0.861525322087895,0,0.125035614396758,3.69224388875224e-05,0.0640464420949383,0,3.63607104342472,6167.65839140389,104163.588364258,8.09982670268994e-07,663.462685830078,964.813885443746,0,0.00126059396642132,1.10323277097996e-05,0.0239212988298584,0,0,7,G
42,0,0.0005,0,0,-4.71720224749961,0.0923707686626122,-0.834640246755394,0.00391782736061197,-0.137299579631707,-0.168778692400138,1,0,1.39722172490669,0,1,1.78947198248935,1.78971805561241,-1.62150712163874,1.18191486946587,1.26336203230275,3.86319073962841,1.06741298314893,0,0.139236454938786,3.61681987443985e-05,0.0685303787704112,0,3.65446245569059,6157.50759577393,104163.736634546,3.5087292333813e-06,744.663167880119,1090.30648491088,0,0.00138660265581203,1.15717744067053e-05,0.0238618817913163,0,0,8,Z
43,0,0.0005,0,2.494007688916e-52,0.86294027862943,0.00202831565765837,0.923030026759949,0.00126872125529965,-0.000655067080285553,-0.000754458092868893,1,93.2479829585053,5.43168278676091e-05,0,1,-1.92326751344715,-1.923510441062,-2,0.0150807509311132,0.000448347483776423,0.97404763483602,0.00318272587691545,0,0.0027633852674423,4.34910019619348e-05,0.0295994311216117,0,3.49147712046054,9698.52270425167,104162.881921017,6.04849503815785e-13,147.093435018628,200.58950017936,0.153558740048299,0.000664967698593039,7.75963138385625e-06,0.0242542017293653,0,0,1,A
44,0,0.0005,0,0,-3.68669094028132,0.0744824176209784,-0.798231132985469,0.0033249973508087,-0.113559047650111,-0.138322777434589,1,0,0.941546860855552,0,1,1.78954950822311,1.79012027864387,-1.6211783463686,0.968642579707503,1.03332004199913,2.89649476834461,0.647521926626624,0,0.1141673970678,3.75035069835284e-05,0.0620766787554467,0,3.62822686024478,6353.64106849012,104163.553629976,1.43210939107519e-07,616.851133061956,885.432867837536,0,0.00123091197015901,1.11048805850453e-05,0.023947610447383,0,0,7,G
45,0,0.0005,0,0,-4.46458976675368,0.0879305618453061,-0.826979406301486,0.00380897513380914,-0.131501585666056,-0.161305609049532,1,0,1.27746635599924,3.15544362088405e-30,1,1.78955284634606,1.79012361749841,-1.62116418347625,1.12958445805114,1.20679888689281,3.58426906619056,0.955432538502107,0,0.133174632818509,3.64976302943229e-05,0.0676271640935945,0,3.6508861065855,6250.67056937055,104163.722948863,2.08230776088669e-06,728.311141396907,1049.25283848752,0,0.00137465555607745,1.16267182207916e-05,0.0238747240312636,0,0,8,Z
46,0,0.0005,0,0,0.298830429046391,0.010478821044311,0.272831847762808,0.00139583387508138,-0.01744734195165,-0.0202859203166623,1,81.2765955121578,0.0208833808798907,0,1,1.76346942434553,1.76367733073783,-1.71713317856223,0.142119636969324,0.146936612111977,-0.404247872825553,-0.753061255959834,0,0.0164923522730705,4.26411178055527e-05,0.0294090769401115,0,3.4839479326138,10477.9023530489,104162.851158415,3.5704772471945e-13,160.098253957573,367.787789037245,2.21945588759054,0.000734101639545453,7.97279146582117e-06,0.0242840169673815,0,0,3,C
47,0,0.0005,0,0,-4.51957803988107,0.08889519295514,-0.82872919316537,0.00370626499836149,-0.132783852303278,-0.162956517799262,1,0,1.3025302057787,0,1,1.78946278983317,1.78967639291085,-1.62154608740215,1.14112346564666,1.21960644802715,3.90550529357499,1.05253082247145,0,0.134349362426531,3.64199835621862e-05,0.0657333004835292,0,3.6422845709975,6013.81475978451,104163.613390028,2.2757647988314e-06,691.205037277542,1026.4897537968,0,0.0012822163979904,1.09505100277298e-05,0.0239004235369013,0,0,8,Z
